latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
40.39782,-79.85507,299.21,0.55,0.68,2026-08-29,0620,N20,nominal,2.0NRT,285.58,1.09,N
40.3917,-79.86238,297.25,0.55,0.68,2026-08-29,0620,N20,nominal,2.0NRT,287.17,1.09,N
40.39151,-79.85598,309.3,0.55,0.68,2026-08-29,0620,N20,nominal,2.0NRT,287.64,1.09,N
40.30352,-79.88059,300.3,0.55,0.68,2026-08-29,0620,N20,nominal,2.0NRT,287.13,1.7,N
40.31251,-80.6116,307.82,0.6,0.71,2026-08-29,0620,N20,nominal,2.0NRT,286.5,1.74,N
40.30724,-79.87937,303.58,0.55,0.68,2026-08-29,0620,N20,nominal,2.0NRT,289.87,1.75,N
40.31376,-80.60994,308.7,0.6,0.71,2026-08-29,0620,N20,nominal,2.0NRT,286.63,1.64,N
40.05982,-76.59594,298.3,0.36,0.58,2026-08-29,0620,N20,nominal,2.0NRT,287.08,0.29,N
39.96531,-76.59847,305.67,0.36,0.58,2026-08-29,0620,N20,nominal,2.0NRT,287.09,0.52,N
39.9504,-76.76892,298.74,0.37,0.58,2026-08-29,0620,N20,nominal,2.0NRT,287.95,0.34,N
39.94237,-76.81832,305.34,0.37,0.58,2026-08-29,0620,N20,nominal,2.0NRT,287.95,1.47,N
39.59229,-75.63711,313.99,0.32,0.55,2026-08-29,0620,N20,nominal,2.0NRT,291.15,1.34,N
39.58724,-75.63765,304.06,0.32,0.55,2026-08-29,0620,N20,nominal,2.0NRT,291.83,1.1,N
38.60014,-82.83826,303.01,0.77,0.78,2026-08-29,0620,N20,nominal,2.0NRT,289.05,1.19,N
35.46528,-78.13878,301.46,0.4,0.6,2026-08-29,0622,N20,nominal,2.0NRT,286.89,0.38,N
29.08031,-82.10186,308.36,0.61,0.71,2026-08-29,0622,N20,nominal,2.0NRT,284.54,1.14,N
26.41407,-80.77924,308.22,0.48,0.65,2026-08-29,0625,N20,nominal,2.0NRT,282.27,2.5,N
26.41673,-80.77674,310.06,0.48,0.64,2026-08-29,0625,N20,nominal,2.0NRT,283.53,1.3,N
26.28055,-80.15736,309.55,0.44,0.62,2026-08-29,0625,N20,nominal,2.0NRT,291.36,3.33,N
26.27915,-80.15495,306.2,0.44,0.62,2026-08-29,0625,N20,nominal,2.0NRT,291.48,2.3,N
25.94917,-77.24781,317.3,0.57,0.52,2026-08-29,0625,N20,nominal,2.0NRT,276,5.27,N
48.18612,-64.92134,309.2,0.42,0.37,2026-08-29,0618,N20,nominal,2.0NRT,288.3,1.46,N
46.0452,-73.14133,311.62,0.42,0.61,2026-08-29,0758,N20,nominal,2.0NRT,285.69,1.89,N
45.84076,-73.25272,327.17,0.43,0.62,2026-08-29,0758,N20,nominal,2.0NRT,284.01,4.14,N
45.83923,-73.24773,314.65,0.43,0.62,2026-08-29,0758,N20,nominal,2.0NRT,284.35,3.63,N
45.84146,-73.2477,322.61,0.43,0.62,2026-08-29,0758,N20,nominal,2.0NRT,283.79,2.75,N
